OTU,pf3-t0,pf7-t0,pf13-t0,pf14-t0,pf34-t0,pf3-aerobic-9d,pf7-aerobic-9d,pf13-aerobic-9d,pf14-aerobic-9d,pf34-aerobic-9d,pf3-anaerobic-9d,pf7-anaerobic-9d,pf13-anaerobic-9d,pf14-anaerobic-9d,pf34-anaerobic-9d,pf3-aerobic-94d,pf7-aerobic-94d,pf13-aerobic-94d,pf14-aerobic-94d,pf34-aerobic-94d,pf3-anaerobic-94d,pf7-anaerobic-94d,pf13-anaerobic-94d,pf14-anaerobic-94d,pf34-anaerobic-94d
OTU_128,0,1,1,0,2,0,0,1,5,4,3,4,0,0,0,209,12,76,326,60,0,0,1,0,1
OTU_182,35,64,13,67,8,37,68,10,42,22,118,69,1,9,15,11,3,1,0,3,42,33,6,13,3
OTU_198,14,6,33,38,25,17,50,97,81,55,88,24,11,7,8,2,4,3,5,3,18,22,36,9,23
OTU_154,10,9,14,113,2,27,50,21,93,37,177,33,2,20,10,2,1,0,4,1,20,8,7,12,2
OTU_173,4,27,5,73,7,26,132,22,150,11,80,38,2,31,2,2,3,0,3,3,23,14,7,10,0
OTU_319,11,3,10,18,2,34,20,293,122,48,28,10,2,3,11,3,0,14,4,4,5,2,17,1,0
OTU_184,15,66,13,19,6,18,162,28,6,10,86,98,2,0,3,7,7,2,1,1,17,78,8,5,1
OTU_165,6,33,0,117,16,3,145,3,95,15,57,68,0,21,6,3,1,0,3,0,11,33,0,15,3
OTU_306,18,30,18,90,11,16,60,26,97,44,87,31,11,24,14,7,0,4,3,0,21,15,13,6,5
OTU_4439,7,13,21,135,5,13,35,59,148,49,46,10,6,36,8,3,1,5,4,1,9,2,16,9,6
OTU_178,16,24,41,58,28,23,58,72,27,63,102,28,4,5,12,2,0,6,3,5,20,17,2,12,8
OTU_430,8,1,3,46,26,19,7,1,16,248,151,8,0,4,46,3,0,0,0,14,16,3,1,5,10
OTU_223,8,2,14,39,13,30,23,26,75,16,150,5,5,23,8,10,4,22,10,5,70,11,29,26,8
OTU_168,19,9,10,140,19,20,41,10,130,26,100,19,2,28,3,5,1,0,5,2,17,6,4,12,4
OTU_231,5,17,44,158,17,7,32,35,80,119,20,7,8,12,18,0,1,4,4,4,4,7,13,6,7
OTU_7783,14,17,5,120,6,16,44,7,112,21,132,28,1,24,6,3,2,3,3,1,12,26,3,20,1
OTU_257,10,3,11,31,87,31,5,6,24,127,71,5,3,19,67,1,0,1,0,16,27,6,5,12,54
OTU_244,5,27,19,132,1,14,58,16,69,11,79,44,5,19,3,1,2,2,2,0,12,51,20,20,5
OTU_267,5,16,7,83,3,15,104,12,137,11,76,31,4,23,6,2,1,2,5,2,12,17,6,16,4
OTU_192,11,19,3,82,6,10,55,10,185,13,82,29,1,24,6,4,3,0,4,0,17,12,7,14,0
OTU_345,7,38,0,126,6,12,82,0,115,5,47,41,0,25,4,2,1,0,5,2,11,37,1,18,4
OTU_202,5,2,37,12,52,10,5,48,9,163,74,9,6,0,51,2,2,6,0,18,8,1,29,2,36
OTU_99,35,11,5,62,6,24,29,6,77,44,153,35,1,9,8,7,0,0,4,8,41,7,5,5,1
OTU_181,21,9,25,28,26,39,29,56,38,83,123,14,4,3,16,6,0,7,3,3,17,7,17,3,4
OTU_1393,13,2,26,11,8,37,0,1,11,44,12,6,5,46,137,2,0,6,6,33,29,2,19,29,87
OTU_213,10,21,7,109,9,10,52,17,168,7,61,16,5,21,2,3,0,1,2,3,20,6,6,13,2
OTU_235,5,4,11,71,22,9,18,48,82,66,119,7,5,4,12,2,0,2,1,4,21,12,19,17,5
OTU_335,13,49,0,65,4,12,103,0,81,9,79,50,1,11,3,0,0,0,1,0,18,46,2,8,1
OTU_225,3,2,12,66,41,17,21,38,68,53,92,10,3,15,21,5,1,3,6,5,15,6,26,19,2
OTU_4967,7,8,12,91,14,6,68,26,86,45,79,16,4,14,3,2,1,4,7,6,9,4,9,10,9
OTU_401,1,28,13,49,14,2,38,17,23,28,10,38,3,10,12,18,0,175,0,12,2,18,19,3,5
OTU_167,6,23,2,107,6,11,56,2,129,17,78,18,0,17,3,0,1,3,2,2,16,11,2,19,2
OTU_349,1,1,198,56,36,0,8,36,19,67,23,9,1,2,11,0,0,16,2,1,3,12,16,5,9
OTU_2774,36,7,0,7,8,44,24,0,3,4,325,5,0,0,3,7,0,0,0,1,51,5,0,0,0
OTU_250,23,17,55,14,27,28,14,29,15,17,76,23,17,7,35,3,0,3,0,10,49,14,32,7,15
OTU_206,0,4,0,9,96,0,3,0,12,245,0,1,0,4,86,0,0,0,0,21,0,0,0,1,44
OTU_328,51,33,24,35,4,39,35,6,31,16,65,34,3,22,13,7,0,3,0,3,45,35,8,9,5
OTU_220,1,0,107,9,16,0,1,182,5,8,23,0,41,0,11,0,1,18,0,1,1,0,83,1,8
OTU_6919,17,16,72,0,0,78,1,1,1,0,1,31,20,19,23,16,3,19,3,14,53,32,62,24,8
OTU_218,0,2,25,14,41,1,13,57,5,109,9,3,4,2,16,20,1,63,9,86,2,2,19,0,9
